Date,SP500Ex7
9/20/2019,1818.67
9/23/2019,1818.92
9/24/2019,1805.91
9/25/2019,1813.55
9/26/2019,1810.47
9/27/2019,1802.9
9/30/2019,1810.55
10/1/2019,1786.4
10/2/2019,1754.5
10/3/2019,1766.99
10/4/2019,1791.55
10/7/2019,1783
10/8/2019,1754.5
10/9/2019,1769.04
10/10/2019,1780.47
10/11/2019,1799.34
10/14/2019,1796.46
10/15/2019,1812.6
10/16/2019,1808.95
10/17/2019,1814.04
10/18/2019,1809.28
10/21/2019,1819.82
10/22/2019,1816.08
10/23/2019,1818.99
10/24/2019,1820.32
10/25/2019,1827.31
10/28/2019,1834.02
10/29/2019,1837.44
10/30/2019,1843.05
10/31/2019,1834.75
11/1/2019,1851.45
11/4/2019,1856.47
11/5/2019,1854.19
11/6/2019,1856.9
11/7/2019,1861.66
11/8/2019,1865.9
11/11/2019,1861.98
11/12/2019,1863.65
11/13/2019,1865.43
11/14/2019,1866.69
11/15/2019,1880.73
11/18/2019,1880.47
11/19/2019,1879.54
11/20/2019,1873.78
11/21/2019,1871.18
11/22/2019,1875.8
11/25/2019,1887.56
11/26/2019,1891.98
11/27/2019,1898.53
11/29/2019,1891.42
12/2/2019,1876.41
12/3/2019,1863.71
12/4/2019,1875.66
12/5/2019,1877.8
12/6/2019,1893.75
12/9/2019,1888.04
12/10/2019,1885.47
12/11/2019,1889.99
12/12/2019,1908.39
12/13/2019,1906.97
12/16/2019,1919.12
12/17/2019,1919.52
12/18/2019,1918.43
12/19/2019,1926.19
12/20/2019,1937.03
12/23/2019,1937.24
12/24/2019,1937.37
12/26/2019,1942.03
12/27/2019,1942.41
12/30/2019,1931.77
12/31/2019,1937.42
1/2/2020,1948.05
1/3/2020,1935.42
1/6/2020,1938.84
1/7/2020,1933.42
1/8/2020,1941.01
1/9/2020,1951.12
1/10/2020,1944.71
1/13/2020,1955.46
1/14/2020,1956.3
1/15/2020,1960.02
1/16/2020,1975.04
1/17/2020,1981.31
1/21/2020,1975.14
1/22/2020,1975.94
1/23/2020,1977.7
1/24/2020,1959.71
1/27/2020,1931.54
1/28/2020,1946.96
1/29/2020,1939.23
1/30/2020,1946.23
1/31/2020,1909.21
2/3/2020,1920.54
2/4/2020,1947.06
2/5/2020,1973.23
2/6/2020,1975.17
2/7/2020,1962.39
2/10/2020,1972.01
2/11/2020,1979.98
2/12/2020,1990.96
2/13/2020,1988.68
2/14/2020,1991.07
2/18/2020,1982.96
2/19/2020,1990.98
2/20/2020,1986.72
2/21/2020,1973.06
2/24/2020,1912.1
2/25/2020,1851.34
2/26/2020,1838.83
2/27/2020,1763.79
2/28/2020,1740.82
3/2/2020,1816.69
3/3/2020,1769.63
3/4/2020,1845.63
3/5/2020,1782.46
3/6/2020,1752.74
3/9/2020,1616.09
3/10/2020,1691.36
3/11/2020,1606.13
3/12/2020,1452.11
3/13/2020,1581.11
3/16/2020,1392.39
3/17/2020,1476.55
3/18/2020,1389.64
3/19/2020,1392.26
3/20/2020,1330.38
3/23/2020,1282.79
3/24/2020,1408.52
3/25/2020,1435.19
3/26/2020,1528.58
3/27/2020,1478.86
3/30/2020,1524.19
3/31/2020,1495.18
4/1/2020,1428.28
4/2/2020,1464.05
4/3/2020,1441.69
4/6/2020,1541.59
4/7/2020,1540.11
